date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:53	1970/1970	---M--	200	added ('OK')	text/css	etag:%224aa3305-7b2-576997d12a100%22	https://www.techniti.in/societies/society_events/style.css	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/style.css	(from https://www.techniti.in/societies/society_events/some.php)
11:29:53	357/357	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2005:59:56%20GMT	https://www.techniti.in/societies/society_events/login/login.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/login/login.php	(from https://www.techniti.in/societies/society_events/some.php)
11:29:59	656205/656205	---M--	200	added ('OK')	application/javascript	etag:%224a02f25-a034d-56f6187c68b00%22	https://www.techniti.in/bitrix/cache/js/s1/neurohive/page_d8/page_d819a5cf49a8c3d38ad8ad6c57b61d82aab5.js?1529794565656205	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/cache/js/s1/neurohive/page_d8/page_d819a5cf49a8c3d38ad8ad6c57b61d82aab5aab5.js	(from https://www.techniti.in/login/login.php)
11:30:01	1224349/1224349	---M--	200	added ('OK')	application/javascript	etag:%224a030fb-12ae9d-577e24166dae2%22	https://www.techniti.in/bitrix/cache/js/s1/neurohive/page/page_881e199689d27b97bb8790f88818f05ba84a.js?15296966331224487	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/cache/js/s1/neurohive/page/page_881e199689d27b97bb8790f88818f05ba84aa84a.js	(from https://www.techniti.in/)
11:30:03	14192/14192	---M--	200	added ('OK')	image/jpeg	etag:%224aa32fd-3770-577f01e137000%22	https://www.techniti.in/societies/society_events/regbutton.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/regbutton.jpg	(from https://www.techniti.in/societies/society_events/some.php)
11:30:03	132267/132267	---M--	200	added ('OK')	image/png	etag:%224a03108-204ab-5781a0e2e2870%22	https://www.techniti.in/societies/society_events/arena.png	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/arena.png	(from https://www.techniti.in/societies/society_events/some.php)
11:30:03	16227/16227	---M--	200	added ('OK')	image/png	etag:%224aa32e7-3f63-577eff867e200%22	https://www.techniti.in/societies/society_events/aqua.PNG	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/aqua.png	(from https://www.techniti.in/societies/society_events/some.php)
11:30:05	385331/385331	---M--	200	added ('OK')	image/jpeg	etag:%224aa32f5-5e133-577308b5fcc00%22	https://www.techniti.in/societies/society_events/img/back_img/some.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/img/back_img/some.jpg	(from https://www.techniti.in/societies/society_events/some.php)
11:30:09	114925/114925	---M--	200	added ('OK')	application/javascript	etag:%224a02ffd-1c0ed-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/js/gsap.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/js/gsap.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:09	17293/17293	---M--	200	added ('OK')	application/javascript	etag:%224a03005-438d-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/js/scrollmagic.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/js/scrollmagic.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:09	104561/104561	---M--	200	added ('OK')	application/javascript	etag:%224a03002-19871-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/js/polyfill.min.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/js/polyfill.min.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:10	1288/1288	---M--	200	added ('OK')	application/javascript	etag:%224a02ffc-508-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/js/animation.gsap.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/js/animation.gsap.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:10	12885/12885	---M--	200	added ('OK')	application/javascript	etag:%224a03003-3255-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/js/project.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/js/project.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:10	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b5750b8-c75f%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	C:/Users/RAJ/Music/sandhaan%20website/website2/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	(from https://www.techniti.in/societies/society_events/some.php)
